model,r2_train,r2_test,rmse_train,rmse_test,mae_train,mae_test
Polynomial Regression ,0.719,0.672,2885.25,2903.82,2214.14,2218.78
XGBoost ,0.988,0.833,591.35,2074.54,434.98,1478.73
