Station Name: CLAREMORRIS,,,,,,,,,,,,,,,,,,,,,,,
Station Height: 68 M ,,,,,,,,,,,,,,,,,,,,,,,
Latitude:53.711  ,Longitude: -8.993,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,,,,,,,,,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,,,,,,,,,,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,,,,,,,,,,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,,,,,,,,,,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,,,,,,,,,,,,,,,,
"soil:  -  Mean 10cm soil temperature (C)	",,,,,,,,,,,,,,,,,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,,,,,,,,,,,,,,,,
wdsp:  -  Mean Wind Speed (kt),,,,,,,,,,,,,,,,,,,,,,,
"hm:    -  Highest ten minute mean wind speed (kt)		                 ",,,,,,,,,,,,,,,,,,,,,,,
ddhm:  -  Wind Direction at max 10 min mean (deg)                  ,,,,,,,,,,,,,,,,,,,,,,,
hg:    -  Highest Gust (kt),,,,,,,,,,,,,,,,,,,,,,,
pe:    -  Potential Evapotranspiration (mm)  ,,,,,,,,,,,,,,,,,,,,,,,
evap:  -  Evaporation (mm),,,,,,,,,,,,,,,,,,,,,,,
smd_wd:-  Soil Moisture Deficits(mm) well drained,,,,,,,,,,,,,,,,,,,,,,,
smd_md:-  Soil Moisture Deficits(mm) moderately drained,,,,,,,,,,,,,,,,,,,,,,,
smd_pd:-  Soil Moisture Deficits(mm) poorly drained,,,,,,,,,,,,,,,,,,,,,,,
glorad:-  Global Radiation (J/cm sq.),,,,,,,,,,,,,,,,,,,,,,,
ind:   -  Indicator (i),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,10.1,0,1.4,0,-1.7,0,13.2,979.5,8.7,0,18,0,270,0,31,5.102,0.5,0.6,0,-10,-10,58
2-Jan-24,0,9.7,0,6,0,-1.2,0,3.8,971.1,7.1,0,13,0,210,0,20,7.01,0.3,0.4,0,-3.5,-10,87
3-Jan-24,0,9.8,0,4.7,0,1,0,2.1,980,6,0,13,0,250,0,19,6.395,0.1,0.2,0,-2,-10,222
4-Jan-24,0,8.3,0,2.2,0,-0.1,0,1.6,990.5,5.8,0,13,0,260,0,21,6.107,0,0,0,-1.6,-10,298
5-Jan-24,0,8.5,0,1.2,0,-3.2,0,0.2,1001,5.2,0,13,0,300,0,20,4.255,0.1,0.2,0,-0.1,-9.6,302
6-Jan-24,0,8.4,0,0.5,0,-4.9,0,0.1,1013.5,3.6,0,7,0,320,0,8,3.434,0,0,0,-0.1,-9.2,346
7-Jan-24,0,6.8,0,-2.4,0,-6.6,0,0,1021.8,2.5,0,6,0,70,0,7,2.995,0,0,0,0,-8.7,359
8-Jan-24,0,3.6,0,-1.8,0,-6,0,0,1025.4,5.3,0,9,0,70,0,15,2.502,0.2,0.2,0.2,0.2,-8.1,216
9-Jan-24,0,4.9,0,-0.2,0,-3.3,0,0,1025.9,8,0,12,0,90,0,20,2.78,0.5,0.5,0.6,0.6,-7.3,274
10-Jan-24,0,5.3,0,-1.8,0,-7.9,0,0,1028.2,5.8,0,9,0,70,0,15,1.959,0.1,0.1,0.7,0.7,-6.8,382
11-Jan-24,0,6.5,0,3.5,0,-6.8,0,0,1032.5,5.8,0,10,0,50,0,14,4,0.5,0.6,1.2,1.2,-5.9,133
12-Jan-24,0,4.3,0,1.1,0,2.2,0,0,1030.3,2.8,0,6,0,60,0,9,4.162,0.4,0.5,1.6,1.6,-5.3,70
13-Jan-24,0,7.5,0,1.1,0,-1.1,0,0.5,1019.8,2.6,0,7,0,50,0,10,4.497,0.2,0.2,1.3,1.3,-5.3,186
14-Jan-24,0,6.3,0,-0.7,0,-4.2,0,0.6,1011.4,4.2,0,8,0,0,0,12,3.912,0.1,0.1,0.7,0.7,-5.6,287
15-Jan-24,0,4.5,0,-1,0,-4.8,0,0.5,1007.4,3.3,0,8,0,10,0,12,3.03,0.1,0.2,0.4,0.4,-5.7,257
16-Jan-24,0,7.9,0,-0.2,0,-4.4,0,2.6,997.6,7,0,14,0,240,0,22,3.184,0.4,0.5,0,-1.8,-7.6,281
17-Jan-24,0,3.9,0,-3.6,0,-6.3,0,0,991.6,4.1,0,9,0,10,0,13,2.703,0,0.1,0,0,-7.2,389
18-Jan-24,0,4.7,0,-4.4,0,-8.7,0,0.6,1002.7,4.9,0,12,0,340,0,17,1.743,0.1,0.2,0,-0.4,-7.3,431
19-Jan-24,0,5.2,0,-2,0,-8.2,0,2.3,1005.6,8.6,0,16,0,190,0,27,1.696,0.3,0.4,0,-2,-9,245
20-Jan-24,0,10.1,0,5,0,-1.8,0,8.8,995,11.9,0,19,0,190,0,31,5.372,0.4,0.5,0,-8.4,-10,150
21-Jan-24,0,12.5,0,5.7,0,4.9,0,36.2,978,19.6,0,35,0,210,0,68,6.582,0.6,1,0,-10,-10,33
22-Jan-24,0,8.4,0,4.8,0,3.2,0,4,993.3,15.8,0,26,0,250,0,43,5.332,1.1,1.3,0,-2.9,-10,298
23-Jan-24,0,12.5,0,5.3,0,2.2,0,15.6,997.5,17.7,0,30,0,260,0,51,6.786,0.6,0.9,0,-10,-10,104
24-Jan-24,0,10.6,0,6.4,0,4.8,0,0.5,1006.4,9.5,0,27,0,250,0,45,6.612,0.9,1,0.4,0.4,-9.1,314
25-Jan-24,0,12.1,0,4.9,0,2.3,0,11,1003.2,13.1,0,24,0,270,0,43,8.007,0.4,0.6,0,-10,-10,168
26-Jan-24,0,9.2,0,3.3,0,0.8,0,2.6,1009,12,0,23,0,280,0,35,6.118,0.7,0.9,0,-1.9,-10,276
27-Jan-24,0,10.3,0,6.3,0,1.8,0,1.2,1009.7,12.3,0,18,0,170,0,30,7.12,0.5,0.7,0,-0.7,-10,233
28-Jan-24,0,12.1,0,3.7,0,5.2,0,0.6,1001.7,12.5,0,23,0,200,0,37,7.873,0.5,0.7,0,-0.1,-9.6,118
29-Jan-24,0,7.9,0,-1.1,0,-0.6,0,0,1014.1,4.2,0,10,0,0,0,16,5.531,0.3,0.5,0.3,0.3,-8.8,443
