Model,R²,Adjusted R²,RMSE,MAE
Model_Full,0.7572972620083763,0.7539263906473815,2676.5377053382276,2044.9762902684017
Model_Reduced2,0.7425314720721286,0.7403977549898534,2756.754568271807,2105.4500665759065
Model_Poly,0.7553504426988399,0.7526396442799905,2687.2510736004733,2041.2541629619861
